Species,Category
Moschus moschiferus,Fauna
Mucor hiemalis CGMCC 3.14114,Fungi
Mucuna pruriens,Flora
Mus musculus,Fauna
Mus musculus C57BL/6J,Fauna
Musa acuminata AAA Group,Flora
Musa acuminata subsp. burmannicoides,Flora
Musa acuminata subsp. malaccensis Doubled-haploid Pahang (DH-Pahang),Flora
Musa acuminata var. zebrina,Flora
Musa banksii,Flora
Musa textilis,Flora
Musca domestica,Fauna
Musca domestica ALHF,Fauna
Muscari armeniacum,Flora
Mustela nigripes,Fauna
Mustela putorius furo,Fauna
Mya arenaria,Fauna
Mycosarcoma maydis,Fungi
Mythimna separata,Fauna
Myzus persicae,Fauna
Naegleria fowleri,Other
Nakaseomyces glabratus ATCC 2001,Fungi
Nakaseomyces glabratus B1012M,Fungi
Nakaseomyces glabratus BG2,Fungi
Nakaseomyces glabratus BG3993,Fungi
Nakaseomyces glabratus BG3994,Fungi
Nakaseomyces glabratus BG3995,Fungi
Nakaseomyces glabratus BG3996,Fungi
Nakaseomyces glabratus CBS 138,Fungi
Nakaseomyces glabratus CST110,Fungi
Nakaseomyces glabratus CST35,Fungi
Nakaseomyces glabratus EB0911Sto,Fungi
Nakaseomyces glabratus EF1237Blo1,Fungi
Nakaseomyces glabratus M12,Fungi
Nakaseomyces glabratus M7,Fungi
Nakaseomyces glabratus SAT_BAL01,Fungi
Nannochloropsis gaditana CCMP526,Other
Narcissus tazetta subsp. chinensis,Flora
Nardostachys jatamansi,Flora
Naumovozyma castellii CBS 4309 type strain:CBS 4309,Fungi
Naumovozyma dairenensis CBS 421 type strain:CBS 421,Fungi
Nemophila menziesii,Flora
Neophocaena phocaenoides,Fauna
Neospora caninum Liverpool,Other
Nepenthes ventricosa x Nepenthes alata,Flora
Nephelium costatum,Flora
Nephelium cuspidatum var. cuspidatum,Flora
Nephelium cuspidatum var. eriopetalum,Flora
Nephelium cuspidatum var. ophiodes,Flora
Nephelium cuspidatum var. robustum,Flora
Nephelium hamulatum,Flora
Nephelium lappaceum,Flora
Nephelium lappaceum var. pallens,Flora
Nephelium maingayi,Flora
Nephelium ramboutan-ake,Flora
Nephelium sp. ZAS009,Flora
Nesidiocoris tenuis Japan,Fauna
Neurospora crassa OR74A,Fungi
Nezara viridula,Fauna
Nicotiana attenuata,Flora
Nicotiana benthamiana,Flora
Nicotiana obtusifolia,Flora
Nicotiana tabacum,Flora
Nicotiana tabacum BY-2,Flora
Nierembergia sp. NB17,Flora
Nilaparvata lugens,Fauna
Nippostrongylus brasiliensis MIMR,Fauna
Nothapodytes tomentosa,Flora
Notodromas monacha,Fauna
Nymphaea colorata,Flora
Ocimum tenuiflorum,Flora
Octopus vulgaris,Fauna
Odontomachus monticola,Fauna
Odontosoria chusana,Flora
Oenanthe javanica,Flora
Oikopleura dioica,Fauna
Oldenlandia corymbosa var. corymbosa,Flora
Olea europaea,Flora
Olea europaea subsp. europaea,Flora
Onobrychis viciifolia,Flora
Opuntia ficus-indica,Flora
Orbilia oligospora ATCC 24927,Fungi
Oreochromis niloticus,Fauna
Ornithogalum saundersiae,Flora
Oryctolagus cuniculus,Fauna
Oryza brachyantha,Flora
Oryza glaberrima,Flora
Oryza minuta,Flora
Oryza nivara,Flora
Oryza officinalis,Flora
Oryza punctata,Flora
Oryza sativa,Flora
Oryza sativa Indica Group,Flora
Oryza sativa Japonica Group,Flora
Oryzias latipes ORANGE RED,Fauna
Oryzias latipes Orange-red,Fauna
Oryzias melastigma,Fauna
Osmanthus fragrans,Flora
Ostreococcus lucimarinus CCE9901,Flora
Ostrinia furnacalis,Fauna
Ostrinia furnacalis HF,Fauna
Ostrinia latipennis,Fauna
Ostrinia scapulalis,Fauna
Ovis aries,Fauna
Paeonia delavayi,Flora
Paeonia hybrid cultivar,Flora
Paeonia lactiflora,Flora
Paeonia lutea,Flora
Paeonia suffruticosa,Flora
Pan troglodytes,Fauna
Panax ginseng,Flora
Panax japonicus,Flora
Panax japonicus var. bipinnatifidus,Flora
Panax major,Flora
Panax notoginseng,Flora
Panax quinquefolius,Flora
Panax vietnamensis,Flora
Panax zingiberensis,Flora
Panicum virgatum,Flora
Panthera leo,Fauna
Panthera onca,Fauna
Panthera pardus,Fauna
Panthera tigris,Fauna
Panthera uncia,Fauna
Papilio polytes,Fauna
Papilio xuthus,Fauna
Papio anubis,Fauna
Parahyaena brunnea,Fauna
Parastagonospora nodorum SN15,Fungi
Paris polyphylla,Flora
Paris polyphylla var. chinensis,Flora
Paris polyphylla var. yunnanensis,Flora
Parrya nudicaulis,Flora
Paspalum notatum var. saurae,Flora
Pelobates cultripes,Fauna
Peltaster fructicola LNHT1506,Fungi
Penicillium chrysogenum,Fungi
Penicillium digitatum PdW03,Fungi
Penicillium psychrofluorescens,Fungi
Penicillium rubens Wisconsin 54-1255,Fungi
Penstemon barbatus,Flora
Perilla frutescens,Flora
Periplaneta americana,Fauna
Peronospora effusa,Other
Persicaria tinctoria,Flora
Petrocodon dealbatus,Flora
Petrocodon hancei,Flora
Petunia axillaris,Flora
Petunia x hybrida,Flora
Petunia x hybrida SURFINIA,Flora
Phaedon cochleariae,Fauna
Phaeodactylum tricornutum,Other
Phalacrocorax auritus,Fauna
Phalaenopsis equestris,Flora
Phalaenopsis hybrid cultivar,Flora
Phallusia mammillata,Fauna
Phaseolus lunatus,Flora
Phaseolus vulgaris,Flora
Phoca vitulina,Fauna
Phocarctos hookeri,Fauna
Phoma sp. F3723,Fungi
Phyllostachys edulis,Flora
Phyllostachys glauca,Flora
Phyllostachys prominens,Flora
Phyllotreta striolata,Fauna
Phytolacca americana,Flora
Picea abies,Flora
Picea glauca,Flora
Picea jezoensis,Flora
Picea mariana,Flora
Picea omorika,Flora
Picea sitchensis,Flora
Pichia angusta CBS4732,Fungi
Pichia kudriavzevii CBS573,Fungi
Picochlorum sp. SENEW3,Flora
Picrorhiza kurrooa,Flora
Pilosella officinarum,Flora
Pinus cembra,Flora
Pinus lambertiana,Flora
Pinus mugo,Flora
Pinus radiata,Flora
Pinus tabuliformis,Flora
Pinus taeda,Flora
Pinus yunnanensis,Flora
Pipistrellus nathusii,Fauna
Piromyces sp. A1,Fungi
Pistia stratiotes,Flora
Pisum sativum,Flora
Plagiochasma appendiculatum,Flora
Plasmodium berghei ANKA,Other
Plasmodium berghei K173,Other
Plasmodium berghei NK65 ny,Other
Plasmodium berghei NK65e,Other
Plasmodium berghei SP11 Antwerpcl1,Other
Plasmodium berghei SP11 RLL,Other
Plasmodium chabaudi adami DK,Other
Plasmodium chabaudi adami DS,Other
Plasmodium chabaudi chabaudi,Other
Plasmodium chabaudi chabaudi AJ,Other
Plasmodium chabaudi chabaudi CB,Other
Plasmodium coatneyi Hackeri,Other
Plasmodium falciparum,Other
Plasmodium falciparum 3D7,Other
Plasmodium gaboni,Other
Plasmodium knowlesi strain H,Other
Plasmodium malariae,Other
Plasmodium ovale,Other
Plasmodium reichenowi,Other
Plasmodium relictum SGS1,Other
Plasmodium sp.,Other
Plasmodium sp. DRC-Itaito,Other
Plasmodium sp. gorilla clade G1,Other
Plasmodium sp. gorilla clade G2,Other
Plasmodium sp. gorilla clade G3,Other
Plasmodium vinckei,Other
Plasmodium vinckei brucechwatti,Other
Plasmodium vinckei lentum,Other
Plasmodium vinckei petteri,Other
Plasmodium vinckei vinckei,Other
Plasmodium vivax,Other
Plasmodium yoelii 17X,Other
Plasmodium yoelii 17XNL,Other
Plasmodium yoelii YM,Other
Plasmodium yoelii yoelii,Other
Plasmodium yoelii yoelii 17XNL clone 1.1,Other
Platanista gangetica,Fauna
Platanus x hispanica,Flora
Platichthys flesus,Fauna
Plenodomus lingam,Fungi
Plenodomus lingam JN3 isolate M1,Fungi
Plenodomus lingam M1,Fungi
Pleuronectes platessa,Fauna
Plutella xylostella,Fauna
Pneumocystis wakefieldiae,Fungi
Podarcis lilfordi,Fauna
Podospora anserina S mat+,Fungi
Podospora comata,Fungi
Polygala tenuifolia,Flora
Polyphagotarsonemus latus,Fauna
Pongo abelii,Fauna
Populus deltoides,Flora
Populus deltoides x Populus tremuloides,Flora
Populus deltoides x Populus x canadensis,Flora
Populus fremontii x Populus angustifolia,Flora
Populus tomentosa,Flora
Populus tremula x Populus alba,Flora
Populus trichocarpa,Flora
Populus trichocarpa x Populus deltoides,Flora
Potamotrygon motoro,Fauna
Primulina alutacea,Flora
Primulina annamensis,Flora
Primulina argentea,Flora
Primulina baishouensis,Flora
Primulina balansae,Flora
Primulina beiliuensis,Flora
Primulina beiliuensis var. fimbribracteata,Flora
Primulina bicolor,Flora
Primulina bipinnatifida,Flora
Primulina bobaiensis,Flora
Primulina bogneriana,Flora
Primulina brachytricha,Flora
Primulina brassicoides,Flora
Primulina brunnea,Flora
Primulina bullata,Flora
Primulina cangwuensis,Flora
Primulina cardaminifolia,Flora
Primulina carinata,Flora
Primulina carnosifolia,Flora
Primulina cf. eburnea east,Flora
Primulina cf. eburnea west,Flora
Primulina chizhouensis,Flora
Primulina colaniae,Flora
Primulina confertiflora,Flora
Primulina cordata,Flora
Primulina cordifolia,Flora
Primulina cordistigma,Flora
Primulina crassirhizoma,Flora
Primulina crassituba,Flora
Primulina curvituba,Flora
Primulina danxiaensis,Flora
Primulina debaoensis,Flora
Primulina depressa,Flora
Primulina diffusa,Flora
Primulina dongguanica,Flora
Primulina drakei,Flora
Primulina dryas,Flora
Primulina duanensis,Flora
Primulina eburnea,Flora
Primulina fengkaiensis,Flora
Primulina fengshanensis,Flora
Primulina fimbrisepala,Flora
Primulina fimbrisepala var. mollis,Flora
Primulina flavimaculata,Flora
Primulina floribunda,Flora
Primulina fordii,Flora
Primulina fordii var. dolichotricha,Flora
Primulina glabrescens,Flora
Primulina glandaceistriata,Flora
Primulina glandulosa,Flora
Primulina gongchengensis,Flora
Primulina grandibracteata,Flora
Primulina guigangensis,Flora
Primulina guihaiensis,Flora
Primulina guizhongensis,Flora
Primulina halongensis,Flora
Primulina hedyotidea,Flora
Primulina heterochroa,Flora
Primulina heterotricha,Flora
Primulina hezhouensis,Flora
Primulina hiepii,Flora
Primulina hochiensis,Flora
Primulina huaijiensis,Flora
Primulina huangii,Flora
Primulina hunanensis,Flora
Primulina jianghuaensis,Flora
Primulina jiangyongensis,Flora
Primulina jingxiensis,Flora
Primulina jiuwanshanica,Flora
Primulina juliae,Flora
Primulina langshanica,Flora
Primulina latinervis,Flora
Primulina laxiflora,Flora
Primulina lechangensis,Flora
Primulina leeii,Flora
Primulina leiophylla,Flora
Primulina lepingensis,Flora
Primulina leprosa,Flora
Primulina lianpingensis,Flora
Primulina liboensis,Flora
Primulina liguliformis,Flora
Primulina lijiangensis,Flora
Primulina linearicalyx,Flora
Primulina linearifolia,Flora
Primulina lingchuanensis,Flora
Primulina linglingensis,Flora
Primulina linglingensis var. fragrans,Flora
Primulina liujiangensis,Flora
Primulina lobulata,Flora
Primulina longgangensis,Flora
Primulina longicalyx,Flora
Primulina longii,Flora
Primulina longzhouensis,Flora
Primulina lunglinensis,Flora
Primulina lunglinensis var. amblyosepala,Flora
Primulina lungzhouensis,Flora
Primulina luochengensis,Flora
Primulina lutea,Flora
Primulina lutescens,Flora
Primulina lutvittata,Flora
Primulina luzhaiensis,Flora
Primulina mabaensis,Flora
Primulina macrodonta,Flora
Primulina macrorhiza,Flora
Primulina maculata,Flora
Primulina maguanensis,Flora
Primulina malipoensis,Flora
Primulina medica,Flora
Primulina melanofilamenta,Flora
Primulina minor,Flora
Primulina minutimaculata,Flora
Primulina moi,Flora
Primulina mollifolia,Flora
Primulina multifida,Flora
Primulina nandanensis,Flora
Primulina napoensis,Flora
Primulina ningmingensis,Flora
Primulina obtusidentata,Flora
Primulina ophiopogoides,Flora
Primulina orthandra,Flora
Primulina parvifolia,Flora
Primulina pengii,Flora
Primulina petrocosmeoides,Flora
Primulina pinnata,Flora
Primulina pinnatifida,Flora
Primulina polycephala,Flora
Primulina porphyrea,Flora
Primulina pseudoeburnea,Flora
Primulina pseudoglandulosa,Flora
Primulina pseudoheterotricha,Flora
Primulina pseudolinearifolia,Flora
Primulina pseudomollifolia,Flora
Primulina pseudoroseoalba,Flora
Primulina pteropoda,Flora
Primulina pungentisepala,Flora
Primulina purpurea,Flora
Primulina qingyuanensis,Flora
Primulina renifolia,Flora
Primulina repanda,Flora
Primulina ronganensis,Flora
Primulina rongshuiensis,Flora
Primulina roseoalba,Flora
Primulina rosulata,Flora
Primulina rotundifolia,Flora
Primulina rubella,Flora
Primulina rubribracteata,Flora
Primulina sclerophylla,Flora
Primulina secundiflora,Flora
Primulina shouchengensis,Flora
Primulina sichuanensis,Flora
Primulina sinovietnamica,Flora
Primulina sp. 1 JLC-2016,Flora
Primulina sp. 1 JT-2014,Flora
Primulina sp. 1 MX-2019,Flora
Primulina sp. 10 JT-2014,Flora
Primulina sp. 11 JT-2014,Flora
Primulina sp. 12 JT-2014,Flora
Primulina sp. 13 JT-2014,Flora
Primulina sp. 14 JT-2014,Flora
Primulina sp. 15 JT-2014,Flora
Primulina sp. 16 JT-2014,Flora
Primulina sp. 17 JT-2014,Flora
Primulina sp. 18 JT-2014,Flora
Primulina sp. 19 JT-2014,Flora
Primulina sp. 2 JLC-2016,Flora
Primulina sp. 2 JT-2014,Flora
Primulina sp. 2 MX-2019,Flora
Primulina sp. 20 JT-2014,Flora
Primulina sp. 21 JT-2014,Flora
Primulina sp. 22 JT-2014,Flora
Primulina sp. 23 JT-2014,Flora
Primulina sp. 24 JT-2014,Flora
Primulina sp. 25 JT-2014,Flora
Primulina sp. 27 MK-2017,Flora
Primulina sp. 29 MK-2017,Flora
Primulina sp. 3 JLC-2016,Flora
Primulina sp. 3 JT-2014,Flora
Primulina sp. 30 MK-2017,Flora
Primulina sp. 31 MK-2017,Flora
Primulina sp. 32 MK-2017,Flora
Primulina sp. 33 MK-2017,Flora
Primulina sp. 34 MK-2017,Flora
Primulina sp. 35 MK-2017,Flora
Primulina sp. 4 JLC-2016,Flora
Primulina sp. 4 JT-2014,Flora
Primulina sp. 5 JLC-2016,Flora
Primulina sp. 5 JT-2014,Flora
Primulina sp. 6 JLC-2016,Flora
Primulina sp. 6 JT-2014,Flora
Primulina sp. 7 JT-2014,Flora
Primulina sp. 8 JT-2014,Flora
Primulina sp. 9 JT-2014,Flora
Primulina sp. 9 MX-2019,Flora
Primulina sp. JLC-2016a,Flora
Primulina sp. JLC-2016b,Flora
Primulina sp. MK-2017d,Flora
Primulina sp. MK-2017e,Flora
Primulina sp. MX-2019,Flora
Primulina sp. pulchurfolia,Flora
Primulina sp. subrhomboidea var. tribracteata,Flora
Primulina sp. yongxingensis,Flora
Primulina spadiciformis,Flora
Primulina spinulosa,Flora
Primulina subrhomboidea,Flora
Primulina subulata,Flora
Primulina subulata var. guilinensis,Flora
Primulina subulata var. yangchunensis,Flora
Primulina subulatisepala,Flora
Primulina suichuanensis,Flora
Primulina swinglei,Flora
Primulina tabacum,Flora
Primulina tenuifolia,Flora
Primulina tenuituba,Flora
Primulina tiandengensis,Flora
Primulina tribracteata,Flora
Primulina tsoongii,Flora
Primulina varicolor,Flora
Primulina verecunda,Flora
Primulina versicolor,Flora
Primulina vestita,Flora
Primulina villosissima,Flora
Primulina weii,Flora
Primulina wenii,Flora
Primulina wentsaii,Flora
Primulina wuae,Flora
Primulina xinningensis,Flora
Primulina xiuningensis,Flora
Primulina xiziae,Flora
Primulina yangchunensis,Flora
Primulina yangshanensis,Flora
Primulina yangshuoensis,Flora
Primulina yingdeensis,Flora
Primulina yungfuensis,Flora
Primulina zhoui,Flora
Prionailurus bengalensis,Fauna
Pristhesancus plagipennis,Fauna
Procyon lotor,Fauna
Profelis aurata,Fauna
Prosopis alba,Flora
Proteles cristata,Fauna
Prunus armeniaca,Flora
Prunus avium,Flora
Prunus brigantina,Flora
Prunus cerasifera,Flora
Prunus cerasus,Flora
Prunus domestica,Flora
Prunus dulcis,Flora
Prunus mume,Flora
Prunus persica,Flora
Prunus salicina,Flora
Pseudohyphozyma bogoriensis ATCC 18809,Fungi
Pseudopleuronectes yokohamae,Fauna
Pseudotsuga macrocarpa,Flora
Pseudotsuga menziesii,Flora
Pseudozyma flocculosa,Fungi
Psylliodes chrysocephala,Fauna
Puccinia triticina Pt15,Fungi
Pueraria montana var. lobata,Flora
Pueraria montana var. thomsonii,Flora
Puma concolor,Fauna
Puma concolor coryi,Fauna
Punica granatum,Flora
Purpureocillium takamizusanense PT3,Fungi
Pusa caspica,Fauna
Pyrenophora teres f. teres,Fungi
Pyricularia oryzae,Fungi
Pyricularia oryzae 70-15,Fungi
Pyrus communis,Flora
Pyrus pyrifolia,Flora
Pyrus ussuriensis,Flora
Pyrus x bretschneideri,Flora
Quercus aquifolioides,Flora
Quercus robur,Flora
Quillaja saponaria,Flora
Rangifer tarandus platyrhyncus,Fauna
Raphanus sativus,Flora
Rattus norvegicus,Fauna
Rattus norvegicus Fisher,Fauna
Rauvolfia serpentina,Flora
Rehmannia glutinosa,Flora
Rheum officinale,Flora
Rheum palmatum,Flora
Rhipicephalus sanguineus,Fauna
Rhizoctonia solani AG-1 IA,Fungi
Rhizopus japonicus,Fungi
Rhodiola crenulata,Flora
Rhodiola rosea,Flora
Rhodiola sachalinensis,Flora
Rhododendron x pulchrum,Flora
Rhodotorula toruloides CECT1137,Fungi
Rhopalosiphum padi,Fauna
Rhynchosporium commune WAI453,Fungi
Rhytidophyllum auriculatum,Flora
Rhytidophyllum bicolor,Flora
Rhytidophyllum bullatum,Flora
Rhytidophyllum crenulatum,Flora
Rhytidophyllum exsertum,Flora
Rhytidophyllum intermedium,Flora
Rhytidophyllum lomense,Flora
Rhytidophyllum minus,Flora
Rhytidophyllum onacaense,Flora
Rhytidophyllum rhodocalyx,Flora
Rhytidophyllum rupincola,Flora
Rhytidophyllum tomentosum,Flora
Rhytidophyllum vernicosum,Flora
Rhytidophyllum villosulum,Flora
Ribes aureum,Flora
Ribes nigrum,Flora
Ribes rubrum,Flora
Ribes uva-crispa,Flora
Rickenella mellea SZMC22713,Fungi
Riptortus pedestris,Fauna
Rivina humilis,Flora
Rosa hybrid cultivar,Flora
Rosa hybrid cultivar ASAMI RED,Flora
Rosa hybrid cultivar CARL RED,Flora
Rosa hybrid cultivar CRIMSON GLORY,Flora
Rosa rugosa,Flora
Rosa sp.,Flora
Rubia yunnanensis,Flora
Rubus chingii,Flora
Rubus chingii var. suavissimus,Flora
Rubus grayanus,Flora
Rubus hybrid cultivar,Flora
Rubus idaeus,Flora
Rubus palmatus,Flora
Saccharomyces cerevisiae AA1,Fungi
Saccharomyces cerevisiae BJ4,Fungi
Saccharomyces cerevisiae CEN.PK113-7D; CBS 8340,Fungi
Saccharomyces cerevisiae EC1118 Lalvin EC1118,Fungi
Saccharomyces cerevisiae EM14S01-3B,Fungi
Saccharomyces cerevisiae HLJ1,Fungi
Saccharomyces cerevisiae HN1,Fungi
Saccharomyces cerevisiae IMX2600,Fungi
Saccharomyces cerevisiae JXXY16.1,Fungi
Saccharomyces cerevisiae PE-2,Fungi
Saccharomyces cerevisiae S288C,Fungi
Saccharomyces cerevisiae SX2,Fungi
Saccharomyces cerevisiae XXYS1.4,Fungi
Saccharomyces cerevisiae Y55,Fungi
Saccharomyces cerevisiae YJM1078,Fungi
Saccharomyces cerevisiae YJM1083,Fungi
Saccharomyces cerevisiae YJM1129,Fungi
Saccharomyces cerevisiae YJM1133,Fungi
Saccharomyces cerevisiae YJM1190,Fungi
Saccharomyces cerevisiae YJM1199,Fungi
Saccharomyces cerevisiae YJM1202,Fungi
Saccharomyces cerevisiae YJM1208,Fungi
Saccharomyces cerevisiae YJM1242,Fungi
Saccharomyces cerevisiae YJM1244,Fungi
Saccharomyces cerevisiae YJM1248,Fungi
Saccharomyces cerevisiae YJM1250,Fungi
Saccharomyces cerevisiae YJM1252,Fungi
Saccharomyces cerevisiae YJM1273,Fungi
Saccharomyces cerevisiae YJM1304,Fungi
Saccharomyces cerevisiae YJM1307,Fungi
Saccharomyces cerevisiae YJM1311,Fungi
Saccharomyces cerevisiae YJM1326,Fungi
Saccharomyces cerevisiae YJM1332,Fungi
Saccharomyces cerevisiae YJM1336,Fungi
Saccharomyces cerevisiae YJM1338,Fungi
Saccharomyces cerevisiae YJM1341,Fungi
Saccharomyces cerevisiae YJM1342,Fungi
Saccharomyces cerevisiae YJM1355,Fungi
Saccharomyces cerevisiae YJM1356,Fungi
Saccharomyces cerevisiae YJM1381,Fungi
Saccharomyces cerevisiae YJM1383,Fungi
Saccharomyces cerevisiae YJM1385,Fungi
Saccharomyces cerevisiae YJM1386,Fungi
Saccharomyces cerevisiae YJM1387,Fungi
Saccharomyces cerevisiae YJM1388,Fungi
Saccharomyces cerevisiae YJM1389,Fungi
Saccharomyces cerevisiae YJM1399,Fungi
Saccharomyces cerevisiae YJM1400,Fungi
Saccharomyces cerevisiae YJM1401,Fungi
Saccharomyces cerevisiae YJM1402,Fungi
Saccharomyces cerevisiae YJM1415,Fungi
Saccharomyces cerevisiae YJM1417,Fungi
Saccharomyces cerevisiae YJM1418,Fungi
Saccharomyces cerevisiae YJM1419,Fungi
Saccharomyces cerevisiae YJM1433,Fungi
Saccharomyces cerevisiae YJM1434,Fungi
Saccharomyces cerevisiae YJM1439,Fungi
Saccharomyces cerevisiae YJM1443,Fungi
Saccharomyces cerevisiae YJM1444,Fungi
Saccharomyces cerevisiae YJM1447,Fungi
Saccharomyces cerevisiae YJM1450,Fungi
Saccharomyces cerevisiae YJM1460,Fungi
Saccharomyces cerevisiae YJM1463,Fungi
Saccharomyces cerevisiae YJM1477,Fungi
Saccharomyces cerevisiae YJM1478,Fungi
Saccharomyces cerevisiae YJM1479,Fungi
Saccharomyces cerevisiae YJM1526,Fungi
Saccharomyces cerevisiae YJM1527,Fungi
Saccharomyces cerevisiae YJM1549,Fungi
Saccharomyces cerevisiae YJM1573,Fungi
Saccharomyces cerevisiae YJM1574,Fungi
Saccharomyces cerevisiae YJM1592,Fungi
Saccharomyces cerevisiae YJM1615,Fungi
Saccharomyces cerevisiae YJM189,Fungi
Saccharomyces cerevisiae YJM193,Fungi
Saccharomyces cerevisiae YJM195,Fungi
Saccharomyces cerevisiae YJM244,Fungi
Saccharomyces cerevisiae YJM248,Fungi
Saccharomyces cerevisiae YJM270,Fungi
Saccharomyces cerevisiae YJM271,Fungi
Saccharomyces cerevisiae YJM320,Fungi
Saccharomyces cerevisiae YJM326,Fungi
Saccharomyces cerevisiae YJM428,Fungi
Saccharomyces cerevisiae YJM450,Fungi
Saccharomyces cerevisiae YJM451,Fungi
Saccharomyces cerevisiae YJM453,Fungi
Saccharomyces cerevisiae YJM456,Fungi
Saccharomyces cerevisiae YJM470,Fungi
Saccharomyces cerevisiae YJM541,Fungi
Saccharomyces cerevisiae YJM554,Fungi
Saccharomyces cerevisiae YJM555,Fungi
Saccharomyces cerevisiae YJM627,Fungi
Saccharomyces cerevisiae YJM681,Fungi
Saccharomyces cerevisiae YJM682,Fungi
Saccharomyces cerevisiae YJM683,Fungi
Saccharomyces cerevisiae YJM689,Fungi
Saccharomyces cerevisiae YJM693,Fungi
Saccharomyces cerevisiae YJM969,Fungi
Saccharomyces cerevisiae YJM972,Fungi
Saccharomyces cerevisiae YJM975,Fungi
Saccharomyces cerevisiae YJM978,Fungi
Saccharomyces cerevisiae YJM981,Fungi
Saccharomyces cerevisiae YJM984,Fungi
Saccharomyces cerevisiae YJM987,Fungi
Saccharomyces cerevisiae YJM990,Fungi
Saccharomyces cerevisiae YJM993,Fungi
Saccharomyces cerevisiae YJM996,Fungi
Saccharomyces eubayanus UCD646,Fungi
Saccharomyces eubayanus UCD650,Fungi
Saccharomyces kudriavzevii IFO 1802 IFO1802,Fungi
Saccharomyces kudriavzevii ZP591,Fungi
Saccharomyces mikatae IFO 1815 IFO1815,Fungi
Saccharomyces paradoxus CBS432,Fungi
Saccharomyces pastorianus CBS 1483,Fungi
Saccharomyces uvarum CBS7001,Fungi
Saccharomyces uvarum ZP964,Fungi
Saccharum hybrid cultivar R570,Flora
Saccharum hybrid cultivar SP80-3280,Flora
Salix purpurea,Flora
Salmo salar,Fauna
Salvelinus malma,Fauna
Salvia miltiorrhiza,Flora
Salvia plebeia,Flora
Saponaria officinalis,Flora
Sarcoptes scabiei,Fauna
Saussurea involucrata,Flora
Scapholeberis mucronata,Fauna
Scheffersomyces stipitis CBS 6054,Fungi
Schistosoma bovis,Fauna
Schistosoma curassoni,Fauna
Schistosoma guineensis,Fauna
Schistosoma haematobium,Fauna
Schistosoma intercalatum,Fauna
Schistosoma japonicum,Fauna
Schistosoma mansoni,Fauna
Schistosoma mansoni Puerto Rico,Fauna
Schistosoma margrebowiei,Fauna
Schistosoma mattheei,Fauna
Schistosoma rodhaini,Fauna
Schistosoma spindalis,Fauna
Schistosoma turkestanicum,Fauna
Schizosaccharomyces osmophilus CBS 15793,Fungi
Schizosaccharomyces pombe 972h-,Fungi
Sclerotinia sclerotiorum 1980 UF-70,Fungi
Scoparia dulcis,Flora
Scophthalmus maximus,Fauna
Scutellaria baicalensis,Flora
Scutellaria barbata,Flora
Scutellaria laeteviolacea var. yakusimensis,Flora
Secale cereale,Flora
Selenicereus monacanthus,Flora
Senna tora,Flora
Septoria linicola SE15195,Fungi
Serendipita indica DSM 11827,Fungi
Sesamum alatum,Flora
Sesamum indicum,Flora
Sesamum radiatum,Flora
Sesuvium portulacastrum,Flora
Sida crystallina,Fauna
Silene latifolia,Flora
Silene littorea,Flora
Simocephalus serrulatus,Fauna
Sinningia cardinalis,Flora
Sinningia speciosa,Flora
Sinopodophyllum hexandrum,Flora
Siraitia grosvenorii,Flora
Sitobion avenae,Fauna
Solanum aculeatissimum,Flora
Solanum berthaultii,Flora
Solanum chacoense,Flora
Solanum commersonii,Flora
Solanum demissum,Flora
Solanum lycopersicum,Flora
Solanum melongena,Flora
Solanum nigrum,Flora
Solanum phureja,Flora
Solanum pinnatisectum,Flora
Solanum sogarandinum,Flora
Solanum sparsipilum,Flora
Solanum spegazzinii,Flora
Solanum stoloniferum,Flora
Solanum tuberosum,Flora
Solanum verrucosum,Flora
Solea solea,Fauna
Sordaria araneosa ATCC 36386,Fungi
Sordaria macrospora SN1693,Fungi
Sorghum bicolor,Flora
Sorghum propinquum,Flora
Sousa chinensis,Fauna
Spatholobus suberectus,Flora
Sphagnum jensenii,Flora
Sphagnum troendelagicum,Flora
Sphenostylis stenocarpa,Flora
Spirodela intermedia,Flora
Spodoptera exigua,Fauna
Spodoptera frugiperda,Fauna
Spodoptera littoralis,Fauna
Spodoptera litura,Fauna
Spongipellis delectans,Fungi
Sporisorium reilianum f. sp. reilianum SRS1_H2-8,Fungi
Sporisorium reilianum SRZ2,Fungi
Sporisorium scitamineum SscI8,Fungi
Sporobolus stapfianus,Flora
Starmerella bombicola,Fungi
Starmerella bombicola ATCC 22214,Fungi
Starmerella bombicola ATCC 22214; NRRL Y-17069,Fungi
Stenella attenuata,Fauna
Stenella coeruleoalba,Fauna
Stevia rebaudiana,Flora
Streptocarpus ionanthus,Flora
Strigamia maritima,Fauna
Strobilanthes cusia,Flora
Strongyloides ratti ED321 Heterogonic,Fauna
Stylosanthes guianensis,Flora
Styphnolobium japonicum,Flora
Sugiyamaella lignohabitans CBS 10342,Fungi
Sungouiella intermedia CBS 141442,Fungi
Sungouiella intermedia PYCC 4715,Fungi
Sus scrofa,Fauna
Swinglea glutinosa,Flora
Syzygium malaccense,Flora
Tabernaemontana elegans,Flora
Talaromyces marneffei,Fungi
Talaromyces rugulosus W13939,Fungi
Taraxacum officinale,Flora
Tecomaria capensis,Flora
Tegillarca granosa,Fauna
Tetradesmus obliquus DOE0152z,Flora
Tetranychus cinnabarinus,Fauna
