At_72B1_S1	NP_192016.1
At_72B1_S1	Q9M156.1
At_72B1_S1	2VCE_A
At_72B1_S1	2VCH_A
At_72B1_S1	2VG8_A
At_72B1_S1	AAK25972.1
At_72B1_S1	CAB80916.1
At_72B1_S1	AAK64133.1
At_72B1_S1	AAM61455.1
At_72B1_S1	AEE81977.1
At_72B1_S1	AHL38715.1
At_72B1_S1	At_72B1_S1
OAP00532.1	OAP00532.1
XP_002872912.1	XP_002872912.1
XP_002872912.1	EFH49171.1
AAB61023.1	AAB61023.1
XP_010427832.1	XP_010427832.1
XP_010456210.1	XP_010456210.1
ESQ37758.1	ESQ37758.1
BAJ34074.1	BAJ34074.1
XP_006396305.2	XP_006396305.2
XP_006290216.1	XP_006290216.1
XP_006290216.1	EOA23114.1
VVB06869.1	VVB06869.1
KFK30683.1	KFK30683.1
XP_013718524.1	XP_013718524.1
VDD23942.1	VDD23942.1
RID75502.1	RID75502.1
XP_009128506.1	XP_009128506.1
XP_009128506.1	VDC89642.1
XP_013621576.1	XP_013621576.1
NP_001302991.1	NP_001302991.1
NP_001302991.1	CAM31954.1
XP_018448007.1	XP_018448007.1
XP_009128501.1	XP_009128501.1
XP_009128501.1	XP_013719370.1
XP_009128501.1	RID75505.1
XP_009128501.1	VDC89634.1
VDD23940.1	VDD23940.1
XP_013619549.1	XP_013619549.1
XP_013622316.1	XP_013622316.1
XP_013718503.1	XP_013718503.1
XP_013684345.1	XP_013684345.1
XP_009134508.1	XP_009134508.1
XP_009134508.1	XP_013735320.1
VDC81140.1	VDC81140.1
RQL82217.1	RQL82217.1
RID70902.1	RID70902.1
VDD27695.1	VDD27695.1
RID43193.1	RID43193.1
XP_013660542.1	XP_013660542.1
XP_009111416.1	XP_009111416.1
XP_009111416.1	VDC58138.1
XP_018452323.1	XP_018452323.1
XP_018473411.1	XP_018473411.1
XP_013613035.1	XP_013613035.1
XP_018466826.1	XP_018466826.1
XP_019100747.1	XP_019100747.1
XP_006418419.1	XP_006418419.1
XP_006418419.1	ESQ36772.1
RID39975.1	RID39975.1
XP_013666324.1	XP_013666324.1
XP_009119690.1	XP_009119690.1
VDD16621.1	VDD16621.1
OAP17404.1	OAP17404.1
NP_001322549.1	NP_001322549.1
NP_001322549.1	ANM60250.1
XP_013638593.1	XP_013638593.1
NP_171649.1	NP_171649.1
NP_171649.1	Q9LNI1.1
NP_171649.1	AAF97321.1
NP_171649.1	ABP88123.1
NP_171649.1	AEE27284.1
NP_171649.1	AHL38976.1
XP_013693709.1	XP_013693709.1
XP_013693709.1	CDY15179.1
XP_010457132.1	XP_010457132.1
VVA89659.1	VVA89659.1
BAD43267.1	BAD43267.1
XP_020870180.1	XP_020870180.1
XP_020870180.1	EFH65630.1
XP_019059663.1	XP_019059663.1
XP_010556588.1	XP_010556588.1
XP_010556589.1	XP_010556589.1
NP_001190649.1	NP_001190649.1
NP_001190649.1	AEE81978.1
NP_001322773.1	NP_001322773.1
NP_001322773.1	ANM60489.1
NP_171646.1	NP_171646.1
NP_171646.1	Q8W4C2.1
NP_171646.1	AAL32746.1
NP_171646.1	AAO00939.1
